"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","489","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectPasswordAnswerBody on postCourierLoginIncorrectPasswordAnswerBody(com.example.LoginCourierTest)",""
"passed","","","319","","TestSuite","","com.example.CreateCourierTest","","requestWithoutLoginReturnsCorrectCodeCourier on requestWithoutLoginReturnsCorrectCodeCourier(com.example.CreateCourierTest)",""
"passed","","","458","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectLoginAnswerCode on postCourierLoginIncorrectLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","476","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginAnswerBody on postCourierLoginAnswerBody(com.example.LoginCourierTest)",""
"passed","","","455","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginAnswerCode on postCourierLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","5663","","TestSuite","","com.example.OrderListTest","","getAnotherOrderList",""
"failed","","","60540","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutPasswordAnswerCode on postCourierLoginWithoutPasswordAnswerCode(com.example.LoginCourierTest)",""
"passed","","","554","","TestSuite","","com.example.CreateCourierTest","","sendPostRequestWithExistingLoginCourierReturnsConflict on sendPostRequestWithExistingLoginCourierReturnsConflict(com.example.CreateCourierTest)",""
"failed","","","656","","TestSuite","","com.example.CreateCourierTest","","sendPostRequestWithExistingLoginCourierReturnsCorrectBody on sendPostRequestWithExistingLoginCourierReturnsCorrectBody(com.example.CreateCourierTest)",""
"passed","","","586","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutLoginAnswerBody on postCourierLoginWithoutLoginAnswerBody(com.example.LoginCourierTest)",""
"passed","","","334","","TestSuite","","com.example.CreateCourierTest","","requestWithoutPasswordReturnsCorrectBodyCourier on requestWithoutPasswordReturnsCorrectBodyCourier(com.example.CreateCourierTest)",""
"passed","","","491","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectLoginAnswerBody on postCourierLoginIncorrectLoginAnswerBody(com.example.LoginCourierTest)",""
"failed","","","60500","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutPasswordAnswerBody on postCourierLoginWithoutPasswordAnswerBody(com.example.LoginCourierTest)",""
"passed","","","853","","TestSuite","","com.example.CreateCourierTest","","requestWithoutPasswordReturnsCorrectCodeCourier on requestWithoutPasswordReturnsCorrectCodeCourier(com.example.CreateCourierTest)",""
"passed","","","308","","TestSuite","","com.example.CreateCourierTest","","requestWithoutLoginReturnsCorrectBodyCourier on requestWithoutLoginReturnsCorrectBodyCourier(com.example.CreateCourierTest)",""
"passed","","","534","","TestSuite","","com.example.CreateCourierTest","","successfulCourierCreatingReturnsCorrectBody on successfulCourierCreatingReturnsCorrectBody(com.example.CreateCourierTest)",""
"passed","","","482","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectPasswordAnswerCode on postCourierLoginIncorrectPasswordAnswerCode(com.example.LoginCourierTest)",""
"passed","","","2511","","TestSuite","","com.example.OrderListTest","","getOrderList",""
"passed","","","471","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutLoginAnswerCode on postCourierLoginWithoutLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","487","","TestSuite","","com.example.CreateCourierTest","","successfulCourierCreatingReturnsCorrectCode on successfulCourierCreatingReturnsCorrectCode(com.example.CreateCourierTest)",""
